Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Cuál es el árbol más alto del mundo?;Media;Secuoya;Baobab;Roble;Eucalipto
¿Cuántos corazones tiene un pulpo?;Media;Tres;Uno;Dos;Cuatro
¿Qué tipo de animal es un ornitorrinco?;Media;Monotrema;Roedor;Marsupial;Ave
¿Cuál es el río más largo del mundo?;Media;Amazonas;Nilo;Misisipi;Yangtsé
¿Qué gas es el más abundante en la atmósfera terrestre?;Media;Nitrógeno;Oxígeno;Dióxido de carbono;Argón
¿Qué capa de la Tierra es líquida?;Media;Núcleo externo;Corteza;Manto;Núcleo interno
¿Qué nombre recibe el estudio de las montañas?;Media;Orografía;Geología;Hidrografía;Pedología
¿En qué zona climática se encuentra la selva amazónica?;Media;Tropical;Templada;Polar;Desértica
¿Cuál es el ave voladora más grande del mundo por envergadura?;Media;Albatros errante;Águila calva;Cóndor andino;Avestruz
¿Qué tipo de planta es el musgo?;Media;Briófita;Gimnosperma;Angiosperma;Helecho
¿Cuál es la diferencia principal entre una rana y un sapo?;Media;La piel y el hábitat;El tamaño;El color;La dieta
¿Qué árbol produce la nuez más grande del mundo?;Media;Coco de mar;Nogal;Almendro;Castaño
¿Qué animal es conocido por tener el período de gestación más largo?;Media;Elefante;Ballena azul;Rinoceronte;Caballo
¿Cómo se llama el proceso por el cual las plantas convierten la luz solar en energía química?;Media;Fotosíntesis;Respiración;Transpiración;Fermentación
¿Cuál es el bioma terrestre más grande del mundo?;Media;Taiga o Bosque boreal;Selva tropical;Desierto;Pradera
¿Cuántos dientes permanentes tiene un perro adulto?;Media;42;32;28;36
¿Qué tipo de roca se forma a partir del magma enfriado?;Media;Ígnea;Sedimentaria;Metamórfica;Caliza
¿Cuál es el principal componente químico de las estrellas, incluido el sol?;Media;Hidrógeno;Helio;Carbono;Oxígeno
¿Qué paso de montaña conecta la India con China, famoso por su elevación extrema?;Media;Paso de Nathu La;Paso Khyber;Paso de Mont Blanc;Paso Stelvio
¿Qué fenómeno natural es responsable por la formación del Gran Cañón?;Media;Erosión por el río Colorado;Glaciación;Movimiento tectónico;Meteorito
¿Qué estructura utilizan las arañas principalmente para la locomoción?;Media;Patas;Alas;Aletas;Tentáculos
¿Qué tipo de animal es un tiburón?;Media;Pez cartilaginoso;Mamífero marino;Reptil;Anfibio
¿Qué es una aurora boreal?;Media;Fenómeno luminoso en la atmósfera;Tipo de tormenta eléctrica;Lluvia de meteoros;Sistema de corrientes oceánicas
¿Qué planta es conocida por ser la más rápida en su proceso de floración?;Media;Bambú;Rosal;Girasol;Loto
¿Cuál es el principal productor de oxígeno en la Tierra?;Media;Fitoplancton;Selvas tropicales;Árboles;Algas terrestres
¿Cuál es la ciencia que estudia los suelos en su relación con las plantas?;Media;Edafología;Botánica;Agronomía;Geología
¿En qué bioma encontrarías el árbol Baobab?;Media;Sabanas africanas;Bosque lluvioso;Tundra;Desierto
¿Qué nombre se le da al movimiento anual de animales de un lugar a otro?;Media;Migración;Hibernación;Rutina diaria;Metamorfosis
¿Cuál es el grupo de islas conocido por su influencia en la teoría de la evolución de Darwin?;Media;Islas Galápagos;Islas Maldivas;Islas Baleares;Islas Fiji
¿Qué mineral es conocido como el más suave según la escala de Mohs?;Media;Talco;Calcita;Cuarzo;Diamante
¿Qué animal tiene la mordida más fuerte del mundo?;Media;Cocodrilo del Nilo;León;Tiburón blanco;Hipopótamo
¿Cómo se clasifican las plantas que pierden sus hojas en otoño?;Media;Caducifolias;Perennes;Coníferas;Suculentas
¿Qué fenómeno causa el efecto de 'El Niño'?;Media;Calentamiento periódico de las aguas del Pacífico ecuatorial;Desplazamiento de la corriente del Golfo;Ascenso de aguas frías en el Atlántico;Movimiento de placas tectónicas
¿Qué animal se sabe que duerme de espaldas y es el único que produce miel?;Media;Abeja;Murciélago;Koala;Perezoso
¿Cuál es la zona más profunda conocida del océano?;Media;Fosa de las Marianas;Fosa de Tonga;Abismo Challenger;Fosa de Puerto Rico
¿Qué tipo de planta es el diente de león?;Media;Hierba;Arbusto;Árbol;Helecho
¿Qué proceso describe el movimiento de los continentes a lo largo del tiempo geológico?;Media;Deriva continental;Erosión;Subducción;Volcanismo
¿Cuál es la unidad básica de clasificación de los organismos vivos?;Media;Especie;Familia;Orden;Clase
¿Qué especie de tortuga es conocida por ser la más grande?;Media;Tortuga laúd;Tortuga de caja;Tortuga de Galápagos;Tortuga verde
¿Cuál es el grupo de mamíferos al que pertenecen las ballenas?;Media;Cetáceos;Pinnípedos;Mustélidos;Ursidos
¿Qué nombre se le da a las aves que no pueden volar?;Media;Ratitas;Pasériformes;Rapaces;Pelícanos
¿Cuál es la serpiente venenosa más larga del mundo?;Media;Cobra real;Serpiente cascabel;Víbora de Russel;Anaconda verde
¿Qué fenómeno natural permite a las luciérnagas emitir luz?;Media;Bioluminiscencia;Fosforescencia;Reflexión;Fluorescencia
¿Qué árbol produce la savia utilizada para hacer jarabe de arce?;Media;Arce;Pino;Roble;Abedul
¿En qué se convierten las orugas después de la metamorfosis?;Media;Mariposas;Escarabajos;Libélulas;Abejas
¿Cuál es el único continente sin reptiles nativos?;Media;Antártida;Europa;América del Norte;África
¿Qué tipo de planta se reproduce principalmente a través de esporas?;Media;Helecho;Rosal;Orquídea;Tomate
¿Cuál es el animal terrestre más rápido del mundo?;Media;Guepardo;León;Águila;Caballo
¿Qué tipo de ave es la alondra?;Media;Pasériforme;Rapaz;Acuática;Nocturna
