Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Cuál fue el motivo principal de la Guerra de los Cien Años entre Francia e Inglaterra?;Media;Control de territorios en Francia;Diferencias religiosas;Acuerdos comerciales fracasados;Disputas dinásticas en Alemania
¿Quién fue el primer emperador romano?;Media;Augusto;Julio César;Calígula;Nerón
¿Qué descubrimiento es atribuido a los hermanos Wright en 1903?;Media;El primer vuelo motorizado controlado;La invención del paracaídas;El primer satélite artificial;El submarino
¿Qué famosa batalla tuvo lugar el 18 de junio de 1815?;Media;Batalla de Waterloo;Batalla de Trafalgar;Batalla de Hastings;Batalla de Austerlitz
¿Qué suceso desencadenó la Primera Guerra Mundial?;Media;Asesinato del archiduque Francisco Fernando;Invasión de Polonia;Caída del Muro de Berlín;Coronación de la reina Victoria
¿Qué imperio construyó el famoso Machu Picchu en Sudamérica?;Media;El Imperio Inca;El Imperio Azteca;El Imperio Otomano;El Imperio Mongol
¿Qué civilización antigua es conocida por haber desarrollado un extenso conocimiento en astronomía y matemáticas?;Media;Maya;Persa;Romana;Vikinga
¿Qué líder militar francés fue derrotado en la Batalla de Waterloo?;Media;Napoleón Bonaparte;Carlos Martel;Juana de Arco;Luis XIV
¿Quiénes eran los jacobinos durante la Revolución Francesa?;Media;Un grupo político radical;Artistas de la ilustración;Exploradores del Nuevo Mundo;Economistas clásicos
¿Qué tratado marcó el final de la Primera Guerra Mundial?;Media;Tratado de Versalles;Tratado de Tordesillas;Pacto de Varsovia;Concordato de Worms
¿Qué dinastía gobernó China durante el periodo de la Gran Muralla y el Ejército de Terracota?;Media;Dinastía Qin;Dinastía Tang;Dinastía Han;Dinastía Yuan
¿Durante qué periodo histórico tuvo lugar la Reforma Protestante?;Media;Siglo XVI;Siglo XIV;Siglo XVIII;Siglo XII
¿Quién fue el presidente de los Estados Unidos durante la Guerra Civil Americana?;Media;Abraham Lincoln;Thomas Jefferson;Andrew Jackson;Ulysses S. Grant
¿Qué gran conquistador mongol fundó el imperio más grande de la historia en términos de tierras contiguas?;Media;Genghis Khan;Timur;Atila;Alejandro Magno
¿Qué evento significó el principio del fin del Imperio Romano de Occidente en el año 476 d.C.?;Media;La deposición de Rómulo Augústulo;La construcción del Coliseo;La Batalla de Actium;El Edicto de Milán
¿En qué año cayó el Muro de Berlín, símbolo de la Guerra Fría?;Media;1989;1979;1999;1969
¿Cuál fue el principal resultado de la Revolución Gloriosa en Inglaterra en 1688?;Media;El establecimiento de una monarquía constitucional;La abolición de la monarquía;La expansión del imperio colonial;La industrialización del país
¿Quién es conocido como el 'Padre de la India' por su papel en la lucha por la independencia del país?;Media;Mahatma Gandhi;Jawaharlal Nehru;Subhas Chandra Bose;Indira Gandhi
¿Cuál fue el primer metal que el ser humano aprendió a manipular y comenzó la Edad de los Metales?;Media;Cobre;Hierro;Acero;Bronce
¿Qué famoso líder revolucionario escribió 'El Capital'?;Media;Karl Marx;Vladímir Lenin;Fidel Castro;Mao Zedong
¿Quién fue el líder espartano en la batalla de las Termópilas en el 480 a.C.?;Media;Leónidas I;Themistocles;Pericles;Ciro el Grande
