Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿En qué año se estrenó la película 'El Padrino'?;Media;1972;1980;1967;1990
¿Qué actor interpretó a Jack Sparrow en la saga 'Piratas del Caribe'?;Media;Johnny Depp;Orlando Bloom;Will Smith;Brad Pitt
¿Cuál es el nombre del personaje que interpreta Leonardo DiCaprio en 'Titanic'?;Media;Jack Dawson;Harry Burns;Frank Abagnale;Jordan Belfort
¿Qué película de ciencia ficción dirigió Ridley Scott en 1982?;Media;Blade Runner;Alien;Gladiator;Prometheus
¿Quién dirigió la trilogía original de 'Star Wars'?;Media;George Lucas;Steven Spielberg;James Cameron;J.J. Abrams
¿Cuál es el nombre del planeta ficticio en el que se desarrolla la película 'Avatar'?;Media;Pandora;Krypton;Vulcano;Tatooine
¿Qué actriz ganó un Óscar por su papel en 'La La Land'?;Media;Emma Stone;Jennifer Lawrence;Anne Hathaway;Natalie Portman
¿Qué película protagonizó Tom Hanks como un hombre varado en una isla desierta?;Media;Náufrago;El Náufrago;Isla Siniestra;Armagedón
¿Qué película animada presentó al personaje del ogro Shrek?;Media;Shrek;Monsters Inc.;El Grinch;Toy Story
¿Quién compuso la música emblemática de 'Star Wars'?;Media;John Williams;Hans Zimmer;Alan Silvestri;James Horner
¿Cuál es el nombre de la actriz que interpretó a Hermione Granger en la saga de Harry Potter?;Media;Emma Watson;Emma Stone;Jennifer Lawrence;Natalie Portman
¿Qué película de Stanley Kubrick se basa en un hotel embrujado?;Media;El resplandor;2001: Una Odisea del Espacio;Naranja Mecánica;Eyes Wide Shut
¿Qué película de 1994 protagonizada por Tim Robbins trata sobre la vida en prisión?;Media;Cadena perpetua;Pena de muerte;El fugitivo;Escape de Alcatraz
¿Quién interpretó a la Inteligencia Artificial HAL 9000 en '2001: Una Odisea del Espacio'?;Media;Douglas Rain;Benedict Cumberbatch;Kevin Spacey;Alan Rickman
¿Qué película sigue la historia de un ex convicto llamado Jean Valjean en la Francia del siglo XIX?;Media;Los miserables;El conde de Montecristo;El pianista;Amistad
¿Qué película de Christopher Nolan se centra en el tema de los sueños lúcidos?;Media;Origen;Memento;El truco final (El prestigio);Dunkerque
¿Quién es el director de 'Mujer Bonita' (1990)?;Media;Garry Marshall;Rob Reiner;Tony Scott;Ron Howard
