Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Cuántos jugadores hay en un equipo de fútbol en el campo?;Fácil;11;7;9;6,
¿Qué país organizará los Juegos Olímpicos de Verano 2024?;Fácil;Francia;Alemania;Brasil;Japón,
¿Qué deporte utiliza pelotas y raquetas y se juega en un 'court'?;Fácil;Tenis;Fútbol;Baloncesto;Cricket,
¿En qué deporte se compite por la Copa América?;Fácil;Vela;Fútbol;Rugby;Balonmano,
¿Cuál es la máxima competición internacional de fútbol masculino a nivel de selecciones?;Fácil;Copa Mundial de la FIFA;Super Bowl;Ryder Cup;NBA Finals,
¿Qué deporte practica Tiger Woods?;Fácil;Golf;Ciclismo;Patinaje sobre hielo;Boxeo,
¿Cómo se llama la competición de tenis que enfrenta a equipos nacionales masculinos?;Fácil;Copa Davis;NBA;Copa Libertadores;Tour de Francia,
¿De qué color es la camiseta del equipo de fútbol FC Barcelona?;Fácil;Azulgrana;Verde;Amarillo;Negro,
¿Qué número de camiseta usaba Michael Jordan la mayoría de su carrera?;Fácil;23;33;45;12
¿Qué equipo de fútbol es conocido como 'Los Merengues'?;Fácil;Real Madrid;FC Barcelona;Atlético de Madrid;Manchester United,
¿En qué deporte se utiliza un 'birdie' o volante?;Fácil;Bádminton;Golf;Tenis de mesa;Squash,
¿Cuántos jugadores hay en un equipo de baloncesto en la cancha?;Fácil;5;7;11;6,
¿Qué equipo de fútbol ganó la Copa Mundial de la FIFA en 2014?;Fácil;Alemania;Brasil;Argentina;Italia,
¿Qué número usaba el futbolista Pele cuando jugaba con Brasil?;Fácil;10;9;11;7,
¿En qué país se originó el tenis?;Fácil;Reino Unido;Estados Unidos;Francia;Australia,
¿Cómo se llama la máxima competición de clubes de fútbol en Europa?;Fácil;Liga de Campeones de la UEFA;Liga Europa de la UEFA;Copa Libertadores;Mundial de Clubes de la FIFA,
¿En qué deporte se celebra el Trofeo Heisman?;Fácil;Fútbol Americano Universitario;Fútbol Profesional;Baloncesto;Béisbol,
¿Qué jugador de baloncesto es conocido como 'King James'?;Fácil;LeBron James;Michael Jordan;Kobe Bryant;Stephen Curry
¿Qué equipo de la NBA tiene como símbolo un toro?;Fácil;Chicago Bulls;New York Knicks;Los Angeles Lakers;Miami Heat,
¿Qué deporte se juega en el 'Wimbledon Championship'?;Fácil;Tenis;Golf;Cricket;Fútbol,
