Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Cuánto dura un partido oficial de la NBA sin contar las prórrogas?;Media;48 minutos;40 minutos;90 minutos;60 minutos
¿En qué país se originó el taekwondo?;Media;Corea del Sur;China;Japón;Brasil
¿Quién es conocido como 'El Rey del Fútbol'?;Media;Pelé;Diego Maradona;Cristiano Ronaldo;Lionel Messi
¿Qué país ha ganado más Copas Mundiales de la FIFA hasta abril de 2023?;Media;Brasil;Alemania;Italia;Argentina
¿Cuántas jugadoras hay en un equipo de voleibol en la cancha al inicio del juego?;Media;6;5;7;11
¿Cuál es el evento principal en las Olimpiadas de Invierno?;Media;Esquí alpino;Curling;Patinaje de velocidad;Snowboard
¿Qué golfista es conocido por su apodo 'El Tiburón'?;Media;Greg Norman;Tiger Woods;Jack Nicklaus;Arnold Palmer
¿En qué año se celebraron los primeros Juegos Olímpicos de la era moderna?;Media;1896;1900;1924;1860
¿Cuál es el término utilizado para un empate en el rugby?;Media;Draw;Deuce;Tie;Equal
¿Cuántos jugadores hay en un equipo de balonmano en la cancha?;Media;7;6;5;11
¿Qué país fue el anfitrión de la Copa Mundial de la FIFA 2010?;Media;Sudáfrica;Brasil;Alemania;Japón
¿Qué tenista masculino ha ganado más títulos de Grand Slam hasta abril de 2023?;Media;Rafael Nadal;Roger Federer;Novak Djokovic;Pete Sampras
¿Qué equipo de la NFL ha ganado más Super Bowls hasta abril de 2023?;Media;Pittsburgh Steelers;New England Patriots;Dallas Cowboys;San Francisco 49ers
¿Qué nadadora ganó 8 medallas en los Juegos Olímpicos de Pekín 2008?;Media;Michael Phelps;Katie Ledecky;Missy Franklin;Dara Torres
¿En qué parte del cuerpo se pone la capitanía en un partido de rugby?;Media;Brazo;Cabeza;Pierna;Pecho
¿Qué piloto de Fórmula 1 tiene el récord de la mayor cantidad de Campeonatos Mundiales ganados hasta abril de 2023?;Media;Lewis Hamilton;Michael Schumacher;Juan Manuel Fangio;Sebastian Vettel
¿Cuánto tiempo dura un partido de hockey sobre hielo?;Media;60 minutos;90 minutos;80 minutos;70 minutos
¿Qué país ganó la primera Copa Mundial de Cricket ICC en 1975?;Media;West Indies;Australia;India;Inglaterra
¿En qué año se introdujo el rugby seven en los Juegos Olímpicos?;Media;2016;2000;2012;2008
¿Qué atleta tiene el récord mundial de los 100 metros lisos hasta abril de 2023?;Media;Usain Bolt;Tyson Gay;Yohan Blake;Justin Gatlin
¿Qué jugador ganó el Balón de Oro de la FIFA en 2010?;Media;Lionel Messi;Cristiano Ronaldo;Andrés Iniesta;Xavi Hernández
¿En qué deporte se compite por la Copa Davis?;Media;Tenis;Golf;Vela;Polo
¿Qué país se llevó la medalla de oro en baloncesto masculino en los Juegos Olímpicos de 1992?;Media;Estados Unidos;Croacia;España;Lituania
¿Cuántos hoyos hay en un round completo de golf?;Media;18;9;36;12
¿Quién fue el campeón mundial de ajedrez antes de Magnus Carlsen?;Media;Viswanathan Anand;Vladimir Kramnik;Garry Kasparov;Anatoly Karpov
¿En qué ciudad se encuentra el estadio de Wembley?;Media;Londres;Manchester;Liverpool;Birmingham
¿Cuál es la distancia oficial de un maratón?;Media;42.195 kilómetros;21.097 kilómetros;10 kilómetros;50 kilómetros
¿Qué equipo de la MLB ha ganado más Series Mundiales hasta abril de 2023?;Media;New York Yankees;St. Louis Cardinals;Boston Red Sox;Los Angeles Dodgers
¿Qué es un 'eagle' en golf?;Media;Dos golpes bajo par;Un golpe bajo par;Tres golpes bajo par;Igual al par
¿En qué ciudad se celebraron los primeros Juegos Paralímpicos?;Media;Roma;Atenas;Tokio;Londres
¿Qué selección de rugby ganó la Copa Mundial de 2015?;Media;Nueva Zelanda;Australia;Sudáfrica;Inglaterra
¿En qué año se estableció la UEFA Champions League bajo su formato y nombre actual?;Media;1992;1980;1974;2000
¿Quién es considerado el padre del fútbol moderno?;Media;Walter Camp;James Naismith;Pierre de Coubertin;William G. Morgan
¿Qué boxeador era apodado 'El Más Grande' y 'El Campeón del Pueblo'?;Media;Muhammad Ali;Mike Tyson;Joe Frazier;George Foreman
¿En qué país se originó el bádminton moderno?;Media;Inglaterra;India;China;Indonesia
¿Qué país ha ganado más medallas en total en los Juegos Olímpicos de Verano?;Media;Estados Unidos;Unión Soviética;China;Gran Bretaña
¿Qué corredor ostenta el récord de la vuelta más rápida en la Fórmula 1 hasta abril de 2023?;Media;Valtteri Bottas;Lewis Hamilton;Sebastian Vettel;Max Verstappen
¿Cuántas series se juegan en un partido típico de tenis de Grand Slam para hombres?;Media;Al mejor de 5;Al mejor de 3;Al mejor de 7;Al mejor de 4
¿Qué país ganó el primer campeonato mundial de baloncesto FIBA en 1950?;Media;Argentina;Estados Unidos;Brasil;URSS
¿Cuál es el nombre de la liga profesional de voleibol más importante en Estados Unidos?;Media;No existe una liga profesional principal;NVL (National Volleyball League);AVP (Association of Volleyball Professionals);PVL (Premier Volleyball League)
¿Cuál es el país con más campeonatos en el Torneo Seis Naciones de rugby?;Media;Inglaterra;Gales;Francia;Irlanda
¿Qué jugador de la NBA tiene el récord de más puntos en un solo partido?;Media;Wilt Chamberlain;Michael Jordan;Kobe Bryant;LeBron James
¿Qué país acogió los Juegos Olímpicos de Invierno de 2018?;Media;Corea del Sur;Japón;Rusia;Canadá
¿Quién es conocido como 'La mano de Dios' en el mundo del fútbol?;Media;Diego Maradona;Pelé;Lionel Messi;Johan Cruyff
¿Cuántos jugadores conforman un equipo de sledge hockey en la cancha?;Media;6;5;7;9
¿Qué piloto ganó el Campeonato Mundial de Rally (WRC) en 2019?;Media;Ott Tänak;Sébastien Ogier;Thierry Neuville;Sébastien Loeb
¿En qué ciudad se fundó el Comité Olímpico Internacional (COI)?;Media;París;Atenas;Lausana;Roma
¿Cuántas disciplinas componen el heptatlón femenino?;Media;7;5;8;6
¿Quién es el ciclista con más victorias en el Tour de Francia?;Media;Lance Armstrong (sus títulos han sido revocados);Eddy Merckx;Miguel Indurain;Jacques Anquetil
¿De qué país es el club de fútbol FC Porto?;Media;Portugal;España;Francia;Italia
¿Cuántos jugadores componen un equipo de béisbol en el campo?;Media;9;8;10;7
¿En qué año se jugó el primer torneo de Wimbledon?;Media;1877;1880;1890;1864
¿Quién tiene el récord de más victorias en la historia de la Fórmula 1 hasta abril de 2023?;Media;Lewis Hamilton;Michael Schumacher;Sebastian Vettel;Ayrton Senna
