Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Cuál es el nombre del protagonista en la serie de juegos 'The Legend of Zelda'?;Media;Link;Zelda;Ganondorf;Epona
¿En qué juego el personaje Trevor Philips es uno de los protagonistas?;Media;Grand Theft Auto V;Red Dead Redemption;Saints Row IV;Watch Dogs
¿Qué videojuego popularizó el género battle royale?;Media;PlayerUnknown's Battlegrounds (PUBG);Call of Duty: Warzone;Apex Legends;Fortnite
¿Cuál es el subtítulo del segundo juego de la serie 'The Witcher'?;Media;Assassins of Kings;Wild Hunt;Hearts of Stone;Blood and Wine
¿Qué tipo de juego es 'Stardew Valley'?;Media;Granja/Simulación de vida;Shooter en primera persona;Juego de lucha;Juego de carreras
¿Cómo se llama el dispositivo de realidad virtual desarrollado por Valve?;Media;Valve Index;Oculus Rift;HTC Vive;Sony PlayStation VR
¿Cuál es la civilización alienígena enemiga principal en la serie 'Halo'?;Media;Covenant;Forerunner;Flood;Promethean
¿En qué año se lanzó el primer juego de la franquicia 'Resident Evil'?;Media;1996;2000;1989;1992
¿Qué videojuego tiene una herramienta llamada 'Portal Gun'?;Media;Portal;Half-Life;Prey;Quantum Conundrum
¿Cómo se llama el mundo en el que se desarrolla la mayor parte de 'The Elder Scrolls V: Skyrim'?;Media;Skyrim;Tamriel;Morrowind;Cyrodiil
¿Cuál es la moneda principal utilizada en el universo de 'Mass Effect'?;Media;Credits;Gil;Zenny;Caps
¿Qué videojuego utiliza la mecánica 'Eco' para el desplazamiento rápido entre dos puntos?;Media;Echochrome;Portal 2;Fez;Monument Valley
¿Cómo se llama la arma energética icónica en la serie 'Metroid'?;Media;Arm Cannon;Buster Sword;Photon Blaster;Plasma Whip
¿Quién es el creador de 'Metal Gear Solid'?;Media;Hideo Kojima;Shigeru Miyamoto;Ken Levine;Shinji Mikami
¿Qué icónico antagonista aparece en 'Silent Hill 2'?;Media;Pyramid Head;Nemesis;Vamp;The Scissorman
¿Qué juego fue fundamental para establecer el género de FPS (First-Person Shooter)?;Media;Doom;Wolfenstein 3D;Quake;Halo
¿Cómo se llama el bioma extremadamente frío e inhóspito en 'Minecraft'?;Media;Tundra;Jungle;Savanna;Desert
¿Qué fruta recuperadora de salud es común en la serie 'Pac-Man'?;Media;Cereza;Manzana;Plátano;Melón
¿En qué juego controlas a un personaje llamado Amaterasu?;Media;Ōkami;Bayonetta;Dark Souls;Devil May Cry
¿Qué sistema de progresión de personaje usan los juegos 'Borderlands'?;Media;Árboles de habilidades;Rangos militares;Ampliaciones de cyberware;Prácticas espirituales
¿Cuál es el nombre de la raza protagonista en 'StarCraft'?;Media;Terran;Zelnaga;Protarian;Xel'Naga
¿Qué arma icónica se usa primariamente en 'Half-Life'?;Media;Crowbar;Gravity Gun;Portal Gun;Plasma Rifle
¿Cuál es el nombre del último jefe en el juego original de 'Dark Souls'?;Media;Gwyn, Señor de la Ceniza;Nito, el Primero de los Muertos;La Bruja de Izalith;El Rey Sin Nombre
¿Qué compañía desarrolló el juego 'Bioshock'?;Media;Irrational Games;Naughty Dog;Insomniac Games;Gearbox Software
¿Qué juego de carreras es famoso por su realismo y uso en los e-sports?;Media;iRacing;Need for Speed;Mario Kart;Burnout
