Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Cuál es el río más largo del mundo?;Fácil;Amazonas;Nilo;Yangtsé;Misisipi
¿Qué gas predominante compone la atmósfera de la Tierra?;Fácil;Nitrógeno;Oxígeno;Dióxido de carbono;Hidrógeno
¿Cómo se llama el proceso por el cual las plantas convierten la luz solar en energía?;Fácil;Fotosíntesis;Respiración;Fermentación;Digestión
¿Cuál es el animal terrestre más grande del planeta?;Fácil;Elefante africano;Ballena azul;Oso polar;Hipopótamo
¿Cuántos planetas tiene el sistema solar?;Fácil;8;9;7;10
¿Qué tipo de animal es la ballena?;Fácil;Mamífero;Pez;Reptil;Anfibio
¿Cómo se llama el bioma caracterizado por árboles de hoja perenne y grandes cantidades de lluvia?;Fácil;Selva tropical;Desierto;Tundra;Estepa
¿Qué ave es conocida por sus habilidades para imitar sonidos, incluyendo la voz humana?;Fácil;Loro;Cuervo;Aguila;Buitre
¿Cómo se llaman las placas que forman la superficie de la Tierra?;Fácil;Placas tectónicas;Placas solares;Placas de hielo;Placas de circuito
¿Cuál es el mamífero más pequeño del mundo?;Fácil;Murciélago nariz de cerdo de Kitti;Elefante africano;Oso hormiguero;Rinoceronte
¿Cuál es la capa más externa de la Tierra?;Fácil;Corteza;Manto;Núcleo;Litosfera
¿Qué es un herbívoro?;Fácil;Un animal que come plantas;Un animal que come carne;Un animal que come insectos;Un animal omnívoro
¿Qué tipo de planta es el bambú?;Fácil;Gramínea;Conífera;Musgo;Helecho
¿Cuál de estos animales es un reptil?;Fácil;Iguana;Delfín;Paloma;Araña
¿En qué estado del agua cae la lluvia desde las nubes?;Fácil;Líquido;Sólido;Gaseoso;Plasma
¿Qué proceso usan las plantas para liberar agua en la atmósfera?;Fácil;Transpiración;Fotosíntesis;Respiración;Condensación
¿Cuál es el grupo de organismos marinos que incluye las estrellas de mar?;Fácil;Equinodermos;Moluscos;Crustáceos;Cnidarios
¿Cuál es la principal fuente de energía para la Tierra?;Fácil;El Sol;La Luna;El viento;Las olas
