Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Quién interpretó a Jack en la película 'Titanic'?;Fácil;Leonardo DiCaprio;Brad Pitt;Tom Hanks;Johnny Depp
¿Qué película ganó el Oscar a la mejor película en 1994?;Fácil;Forrest Gump;Pulp Fiction;The Shawshank Redemption;Jurassic Park
¿Qué personaje es conocido como 'El Rey del Mundo' en 'Titanic'?;Fácil;Jack Dawson;Bruce Ismay;Cal Hockley;Billy Zane
¿Quién dirigió 'Jurassic Park'?;Fácil;Steven Spielberg;George Lucas;James Cameron;Martin Scorsese
¿Qué actriz interpretó a la Princesa Leia en 'Star Wars'?;Fácil;Carrie Fisher;Natalie Portman;Sigourney Weaver;Linda Hamilton
¿Cómo se llama el parque de 'Parque Jurásico'?;Fácil;Isla Nublar;Isla Sorna;Skull Island;Isla Adventure
¿Quién es el famoso detective británico que Robert Downey Jr. interpretó en el cine?;Fácil;Sherlock Holmes;James Bond;Jack Ryan;Austin Powers
¿En qué película Tom Hanks dice: 'Houston, tenemos un problema'?;Fácil;Apollo 13;Cast Away;The Martian;Gravity
¿Qué película protagonizan Tom Cruise y Kelly McGillis?;Fácil;Top Gun;Jerry Maguire;Risky Business;Days of Thunder
¿Qué objeto es el centro de la trama en la saga de 'El Señor de los Anillos'?;Fácil;El Anillo Único;El Arco de Legolas;El Yelmo de Sauron;La Espada de Aragorn
¿En qué ciudad se desarrolla la mayor parte de la acción en 'Batman Begins'?;Fácil;Gotham City;Metropolis;Nueva York;Ciudad Gotica
¿Quién interpretó a la Viuda Negra en el Universo Cinematográfico de Marvel?;Fácil;Scarlett Johansson;Elizabeth Olsen;Natalie Portman;Brie Larson
¿Cuál es el nombre del personaje de Johnny Depp en 'Piratas del Caribe'?;Fácil;Jack Sparrow;Will Turner;Davy Jones;James Norrington
¿Qué película de Pixar presenta a un anciano que ata globos a su casa?;Fácil;Up;Toy Story;Monsters, Inc.;Cars
¿Qué actor interpretó a Harry Potter en las películas?;Fácil;Daniel Radcliffe;Rupert Grint;Tom Felton;Elijah Wood
¿En 'El Señor de los Anillos', quién es el portador del anillo antes de Frodo?;Fácil;Bilbo Bolsón;Gandalf;Aragorn;Legolas
¿Qué famoso director de cine es conocido por 'La lista de Schindler' y 'E.T.'?;Fácil;Steven Spielberg;Quentin Tarantino;Alfred Hitchcock;Ridley Scott
¿En qué película Brad Pitt interpreta a un personaje llamado Tyler Durden?;Fácil;Fight Club;Seven;Troy;The Curious Case of Benjamin Button
¿Cómo se llama la nave espacial en 'Alien'?;Fácil;Nostromo;Serenity;Enterprise;Millennium Falcon
¿Cuál es el apellido de Indiana Jones en las películas?;Fácil;Jones;Smith;Brown;Adams
¿Qué actor interpretó a Forrest Gump en la película homónima?;Fácil;Tom Hanks;Jim Carrey;John Travolta;Michael Douglas
¿Cuál es la profesión del personaje de Will Smith en 'Hombres de negro'?;Fácil;Agente de MIB;Policía;Abogado;Taxista
¿Quién es el director de la película 'Gladiator'?;Fácil;Ridley Scott;Peter Jackson;Michael Bay;Guy Ritchie
¿Cuál es la primera regla del Club de la Lucha?;Fácil;No hablar del Club de la Lucha;Siempre luchar con guantes;Luchar solo los fines de semana;No hacer trampa
¿Qué personaje dice la famosa frase 'Que la Fuerza te acompañe' en 'Star Wars'?;Fácil;Han Solo;Darth Vader;Anakin Skywalker;Yoda
¿Qué película de Disney tiene un personaje llamado 'Mufasa'?;Fácil;El Rey León;Aladdin;La Sirenita;Pocahontas
¿Qué actriz interpretó a Katniss Everdeen en 'Los Juegos del Hambre'?;Fácil;Jennifer Lawrence;Emma Stone;Shailene Woodley;Scarlett Johansson
¿Qué color es el sable de luz de Luke Skywalker en 'Star Wars: Episodio VI - El Retorno del Jedi'?;Fácil;Verde;Azul;Rojo;Morado
¿Quién dirigió 'La La Land'?;Fácil;Damien Chazelle;Barry Jenkins;Steven Spielberg;Kenneth Branagh
¿En qué año se estrenó la película original de 'Blade Runner'?;Fácil;1982;1979;1990;2001
¿Cuál es el nombre del personaje principal en 'El club de la lucha'?;Fácil;El Narrador;Tyler Durden;Robert Paulson;Marla Singer
¿Qué película de animación sigue la historia de un pez payaso llamado Marlin en busca de su hijo?;Fácil;Buscando a Nemo;Buscando a Dory;Shark Tale;El espantatiburones
¿Quién compuso la famosa banda sonora de 'Star Wars'?;Fácil;John Williams;Hans Zimmer;Ennio Morricone;Danny Elfman
¿Cuál de estas películas es una famosa comedia protagonizada por Jim Carrey y Jeff Daniels?;Fácil;Tonto y Retonto;La máscara;El truman Show;Eterno resplandor de una mente sin recuerdos
¿Qué actor interpretó a Iron Man en el Universo Cinematográfico de Marvel?;Fácil;Robert Downey Jr.;Chris Evans;Mark Ruffalo;Chris Hemsworth
¿Cuál es el nombre del reino donde tiene lugar la película 'Frozen'?;Fácil;Arendelle;Corona;DunBroch;Genovia
¿Qué película de ciencia ficción de 1999 es famosa por su concepto de realidad virtual y 'bullet time'?;Fácil;Matrix;El show de Truman;El quinto elemento;Starship Troopers
¿Qué actor dio vida a Gandalf en 'El Señor de los Anillos'?;Fácil;Ian McKellen;Ian Holm;Christopher Lee;Sean Bean
¿Cómo se llama el protagonista de la saga de 'Indiana Jones'?;Fácil;Henry Jones Jr.;Henry Jones Sr.;Indiana Smith;Jack Ryan
¿Qué película dirigida por James Cameron cuenta con un barco hundiéndose y un gran romance?;Fácil;Titanic;El abismo;Avatar;Terminator
¿Qué actriz interpretó a Mary Poppins en la película original de 1964?;Fácil;Julie Andrews;Audrey Hepburn;Meryl Streep;Dame Judi Dench
¿Quién es el villano principal en 'La Bella y la Bestia' de Disney?;Fácil;Gastón;Scar;Jafar;Ursula
¿Cuál es el apodo del personaje de Sylvester Stallone en la saga 'Rocky'?;Fácil;El Potro Italiano;El Tigre Siberiano;El León Americano;El Águila de Filadelfia
¿Qué película animada presenta un sheriff de juguete llamado Woody?;Fácil;Toy Story;Cars;El bueno, el feo y el malo;Cowboys & Aliens
¿En qué película Morgan Freeman interpreta al personaje Red, un prisionero que contrabandea artículos?;Fácil;The Shawshank Redemption;Million Dollar Baby;Seven;Bruce Almighty
¿Qué director es conocido por sus películas 'La ventana indiscreta' y 'Psicosis'?;Fácil;Alfred Hitchcock;Martin Scorsese;Stanley Kubrick;Orson Welles
¿Qué película de los años 80 está protagonizada por un grupo de niños que buscan un tesoro pirata y se llaman 'Los Goonies'?;Fácil;Los Goonies;El club de los cinco;Cazafantasmas;E.T. el extraterrestre
¿Qué actriz protagonizó 'El diablo viste de Prada' junto a Meryl Streep?;Fácil;Anne Hathaway;Sandra Bullock;Kate Hudson;Natalie Portman
¿Qué película de Tim Burton es reconocida por su estética gótica y su personaje principal con manos de tijera?;Fácil;Edward Scissorhands;Beetlejuice;El joven manos de tijera;Sweeney Todd
¿Cómo se llama el villano principal en 'El Rey León'?;Fácil;Scar;Mufasa;Simba;Timón
¿Quién interpretó a la Capitana Marvel en el Universo Cinematográfico de Marvel?;Fácil;Brie Larson;Anne Hathaway;Jessica Chastain;Zoe Saldana
¿Qué película de animación presenta un mundo donde los monstruos generan su ciudad con los gritos de los niños?;Fácil;Monsters, Inc.;Shrek;Hotel Transylvania;Trolls
¿Qué actriz ganó un Oscar por su papel en 'La La Land'?;Fácil;Emma Stone;Amy Adams;Jennifer Lawrence;Rachel McAdams
¿En qué película aparecen los personajes Neo, Morpheus y Trinity?;Fácil;Matrix;Inception;Equilibrium;Blade
¿Qué actor interpretó al Joker en la película 'The Dark Knight'?;Fácil;Heath Ledger;Jack Nicholson;Jared Leto;Joaquin Phoenix
¿Cuál película cuenta con un grupo de héroes llamado Los Vengadores?;Fácil;The Avengers;La Liga de la Justicia;X-Men;Los Cuatro Fantásticos
¿Qué película de ciencia ficción de 1982 es conocida por replicantes y un cazador llamado Rick Deckard?;Fácil;Blade Runner;Dune;Total Recall;Minority Report
¿Qué actor interpretó a Wolverine en las películas de 'X-Men'?;Fácil;Hugh Jackman;Liev Schreiber;Gerard Butler;Russell Crowe
¿Cuál es el último nombre del personaje principal, 'El Gran Lebowski'?;Fácil;Jeffrey Lebowski;John Lebowski;Steve Lebowski;Paul Lebowski
¿Qué película es famosa por la frase 'Desde siempre te quise, desde siempre y para siempre'?;Fácil;Casa Blanca;El Padrino;Desayuno en Tiffany's;Titanic
¿Qué película de superhéroes es conocida por la ciudad ficticia de Wakanda?;Fácil;Black Panther;Spider-Man;Thor;Iron Man
¿En qué película Robin Williams interpreta a un profesor de literatura llamado John Keating?;Fácil;La Sociedad de los Poetas Muertos;Jumanji;Patch Adams;El Indomable Will Hunting
¿Qué película de animación incluye un personaje llamado Donkey y un ogro verde?;Fácil;Shrek;Madagascar;Ferdinand;Zootopia
¿En qué película Kevin Spacey interpreta a un hombre llamado Verbal Kint?;Fácil;Los sospechosos de siempre;American Beauty;Pay It Forward;Seven
¿Qué actor interpretó a Marty McFly en 'Volver al Futuro'?;Fácil;Michael J. Fox;Tom Cruise;Matthew Broderick;Ralph Macchio
¿Qué película icónica es conocida por su banda sonora, que incluye 'Stayin' Alive' de los Bee Gees?;Fácil;Fiebre de sábado por la noche;Footloose;Flashdance;Dirty Dancing
¿Qué actor interpretó al personaje principal en 'Edward Scissorhands'?;Fácil;Johnny Depp;Tom Hanks;Brad Pitt;Jim Carrey
¿Quién dirigió la película 'El renacido', por la que Leonardo DiCaprio ganó su primer Oscar?;Fácil;Alejandro González Iñárritu;Martin Scorsese;Steven Spielberg;Quentin Tarantino
