Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Quién escribió 'Cien años de soledad'?;Fácil;Gabriel García Márquez;Mario Vargas Llosa;Julio Cortázar;Isabel Allende
¿Cuál es el nombre del protagonista de 'El ingenioso hidalgo Don Quijote de la Mancha'?;Fácil;Don Quijote;Don Juan;Don Pedro;Don Rodrigo
¿Quién es el autor de 'Hamlet'?;Fácil;William Shakespeare;Charles Dickens;John Milton;Thomas Hardy
¿Qué novela famosa empieza con 'Es una verdad universalmente reconocida que...'?;Fácil;Orgullo y Prejuicio;Crimen y Castigo;Mujercitas;El retrato de Dorian Gray
¿En qué libro aparecen los personajes Sam Gamyi y Frodo Bolsón?;Fácil;El Señor de los Anillos;Harry Potter;Juego de Tronos;El Hobbit
¿De qué novelista inglés es la obra 'David Copperfield'?;Fácil;Charles Dickens;Mark Twain;Jane Austen;George Orwell
¿Qué poeta escribió 'La Divina Comedia'?;Fácil;Dante Alighieri;Homero;Virgilio;Ovidio
¿En qué ciudad está ambientada la novela 'Romeo y Julieta'?;Fácil;Verona;Florencia;Milán;Venecia
¿Quién escribió 'Cumbres Borrascosas'?;Fácil;Emily Brontë;Charlotte Brontë;Anne Brontë;Jane Austen
¿Cómo se llama el lugar ficticio donde se desarrolla 'El Hobbit'?;Fácil;La Tierra Media;Narnia;Westeros;Camelot
¿Qué autor creó el personaje de Sherlock Holmes?;Fácil;Arthur Conan Doyle;Agatha Christie;Edgar Allan Poe;Ian Fleming
¿Cuál es el apellido del personaje principal en 'Moby Dick'?;Fácil;Ahab;Pequod;Starbuck;Queequeg
¿Quién es el autor de 'La Metamorfosis'?;Fácil;Franz Kafka;Fyodor Dostoevsky;Hermann Hesse;Thomas Mann
¿Qué escritor es conocido por sus novelas de terror como 'Carrie' y 'El resplandor'?;Fácil;Stephen King;H.P. Lovecraft;Dean Koontz;Clive Barker
¿Quién escribió 'Los Miserables'?;Fácil;Victor Hugo;Alexandre Dumas;Gustave Flaubert;Emile Zola
¿Qué poema famoso comienza con las líneas 'Una vez, a medianoche lúgubre'?;Fácil;El Cuervo;La Campana de Ananké;Ulalume;Ligeia
¿En qué novela se puede encontrar el personaje Atticus Finch?;Fácil;Matar un ruiseñor;La granja de los animales;Las aventuras de Huckleberry Finn;La uvas de la ira
¿Qué autor francés escribió 'Veinte mil leguas de viaje submarino'?;Fácil;Julio Verne;Alexandre Dumas;Victor Hugo;Honoré de Balzac
¿Cuál es el seudónimo más famoso de Eric Arthur Blair?;Fácil;George Orwell;Lewis Carroll;Mark Twain;Voltaire
¿Qué novela de Jane Austen presenta a los personajes Elizabeth Bennet y el Sr. Darcy?;Fácil;Orgullo y Prejuicio;Sentido y Sensibilidad;Emma;Mansfield Park
¿Quién escribió 'El retrato de Dorian Gray'?;Fácil;Oscar Wilde;Charles Dickens;Virginia Woolf;George Bernard Shaw
¿Qué obra literaria es conocida por la frase 'Ser o no ser, esa es la cuestión'?;Fácil;Hamlet;Macbeth;El Rey Lear;Otelo
¿Cuál es el título del famoso libro de George Orwell sobre una distopía?;Fácil;1984;Un mundo feliz;Nosotros;Fahrenheit 451
¿Quién es el autor de 'Las crónicas de Narnia'?;Fácil;C.S. Lewis;J.R.R. Tolkien;J.K. Rowling;Philip Pullman
¿Qué novelista ruso escribió 'Guerra y Paz'?;Fácil;León Tolstói;Anton Chejov;Iván Turguénev;Fiódor Dostoievski
¿En qué novela de ciencia ficción se presenta el concepto de 'Gran Hermano'?;Fácil;1984;Fahrenheit 451;Una odisea espacial;El show de Truman
