Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿En qué año fue lanzado el juego original 'Super Mario Bros.' para NES?;Fácil;1985;1983;1990;1987
¿Qué videojuego popular tiene personajes llamados Pikachu y Charizard?;Fácil;Pokémon;Digimon;Monster Rancher;Dragon Quest
¿Cuál es el nombre del protagonista de la serie 'The Legend of Zelda'?;Fácil;Link;Zelda;Ganon;Navi
¿Cómo se llama la plataforma de distribución digital de videojuegos desarrollada por Valve Corporation?;Fácil;Steam;Origin;Epic Games Store;Uplay
¿Qué juego implica construir estructuras y sobrevivir en un mundo de bloques?;Fácil;Minecraft;Terraria;Roblox;Fortnite
¿Cuál es el nombre del fontanero hermano de Mario en los juegos de Nintendo?;Fácil;Luigi;Wario;Peach;Toad
¿Cuál es el nombre del juego de pelea que incluye personajes de diferentes franquicias de Nintendo?;Fácil;Super Smash Bros.;Street Fighter;Tekken;Mortal Kombat
¿Qué objeto debe encontrar Sonic para transformarse en Super Sonic?;Fácil;Esmeraldas del Caos;Anillos Dorados;Estrellas de Poder;Monedas Rojas
¿En qué juego puedes tomar el rol de un guardián llamado 'Guardian' en las tierras de Azeroth?;Fácil;World of Warcraft;The Elder Scrolls Online;Guild Wars 2;Final Fantasy XIV
¿Cómo se llama la criatura rosada que puede copiar habilidades de sus enemigos en la serie de juegos de Nintendo?;Fácil;Kirby;Jigglypuff;Q*Bert;Pac-Man
¿En qué juego controlas a un personaje llamado 'Master Chief'?;Fácil;Halo;Call of Duty;Destiny;Doom
¿Qué juego de cartas digital está basado en el universo de 'Warcraft'?;Fácil;Hearthstone;Magic: The Gathering;Gwent;Artifact
¿Qué famoso juego de batalla real comienza lanzando a los jugadores de un 'Battle Bus'?;Fácil;Fortnite;PlayerUnknown's Battlegrounds;Apex Legends;Call of Duty: Warzone
¿Qué franquicia de videojuegos incluye títulos como 'Modern Warfare' y 'Black Ops'?;Fácil;Call of Duty;Battlefield;Halo;Medal of Honor
¿Qué videojuego te permite jugar como un asesino en distintas épocas históricas?;Fácil;Assassin's Creed;Hitman;Tomb Raider;Uncharted
¿Cuál es el nombre del enemigo principal en la mayoría de los juegos de 'Super Mario'?;Fácil;Bowser;Waluigi;King Dedede;Dr. Robotnik
¿Qué videojuego está centrado principalmente en el ritmo y la música, donde los jugadores deben golpear bloques de colores con sables de luz?;Fácil;Beat Saber;Just Dance;Rock Band;Guitar Hero
¿Qué título de supervivencia te lleva a una isla llena de dinosaurios y otros jugadores?;Fácil;ARK: Survival Evolved;Rust;The Forest;Stranded Deep
¿Cómo se llama la moneda virtual utilizada en los juegos 'Roblox'?;Fácil;Robux;V-Bucks;Coinz;Simoleons
¿En qué juego de disparos en primera persona formas parte de un escuadrón conocido como 'Spartans'?;Fácil;Halo;Destiny;Gears of War;Titanfall
¿Cuál es el videojuego que introduce un personaje llamado 'Cortana'?;Fácil;Halo;Mass Effect;Half-Life;Portal
¿Qué videojuego popular te permite explorar y luchar en un mundo hecho completamente de cubos?;Fácil;Minecraft;Cube World;Fez;Starbound
¿Cuál es el nombre del reino ficticio donde se desarrolla la mayor parte de la serie 'The Legend of Zelda'?;Fácil;Hyrule;Azeroth;Tamriel;Middle-earth
¿En qué videojuego usas portales para resolver acertijos en un laboratorio de ciencia?;Fácil;Portal;Quantum Conundrum;The Talos Principle;Antichamber
¿Qué nombre recibe el personaje controlado por el jugador en 'Pokémon Go'?;Fácil;Entrenador Pokémon;Maestro Pokémon;Cazador Pokémon;Líder Pokémon
¿Cuál es el nombre del popular juego de cartas que enfrenta a jugadores en el mundo fantástico de Runeterra?;Fácil;Legends of Runeterra;Magic: The Gathering Arena;Hearthstone;Gwent
¿De qué juego es el modo 'Save the World', un modo de juego de cooperación para construir fuertes y defenderse de zombis?;Fácil;Fortnite;Plants vs. Zombies;State of Decay;Dead Island
¿Cómo se llama la agencia ficticia que enfrenta amenazas sobrenaturales en el juego 'Control'?;Fácil;Federal Bureau of Control;Special Research Branch;Bureau for Paranormal Research;Department of Unified Protection
¿Qué compañía desarrolló el videojuego 'Overwatch'?;Fácil;Blizzard Entertainment;Valve Corporation;Riot Games;Ubisoft
¿Qué sistema de juego revolucionario introdujo el juego 'Wii Sports' para la consola Nintendo Wii?;Fácil;Control de movimiento;Realidad virtual;Realidad aumentada;Juego en la nube
¿Qué objeto principal usas para capturar criaturas en el universo de 'Pokémon'?;Fácil;Pokebola;Capsule;Digivice;Monster Box
¿Cuál es el nombre del reino principal en el que se desarrolla 'Super Mario 64'?;Fácil;Reino Champiñón;Reino Tortuga;Reino Estrella;Reino Caramelo
¿En 'Animal Crossing', quién es el empresario mapache que te vende tu casa?;Fácil;Tom Nook;Redd;Bob;Rover
¿Qué clásico videojuego de arcade presenta a un personaje amarillo comiendo puntos en un laberinto mientras es perseguido por fantasmas?;Fácil;Pac-Man;Q*bert;Frogger;Asteroids
¿Qué forma de combate usas principalmente en 'Street Fighter'?;Fácil;Artes marciales;Disparos;Espadas;Magia
¿Cómo se llama el protagonista principal de la serie 'Metroid'?;Fácil;Samus Aran;Mega Man;Master Chief;Marcus Fenix
¿En qué juego puedes encontrar el vehículo de guerra llamado 'Warthog'?;Fácil;Halo;Battlefield;Gears of War;Call of Duty
¿Cuál es el nombre de la carrera espacial de aves en el juego 'Angry Birds'?;Fácil;Pájaros Enojados;Pajaritos Furiosos;Aviones Ala Delta;Aves Rápidas
¿Qué juego popular te permite crear y jugar niveles personalizados de 'Super Mario'?;Fácil;Super Mario Maker;Mario Kart;Mario Party;Mario Tennis
¿Qué arma de fuego es la más icónica en la serie de juegos 'Doom'?;Fácil;Escopeta;Rifle de asalto;Pistola láser;Ballesta
¿Qué videojuego de construcción y supervivencia te permite explorar mundos infinitos y enfrentarte a criaturas llamadas Creepers?;Fácil;Minecraft;Terraria;Stardew Valley;No Man's Sky
¿Cuál es la consola de videojuegos híbrida de Nintendo que se puede utilizar tanto de forma portátil como conectada a un televisor?;Fácil;Nintendo Switch;Nintendo Wii U;Nintendo 3DS;PlayStation Vita
¿Qué juego de lucha cuenta con personajes de Nintendo como Mario, Link y Pikachu luchando entre sí?;Fácil;Super Smash Bros.;Tekken;Soulcalibur;King of Fighters
¿Cómo se llama el protagonista del videojuego 'God of War'?;Fácil;Kratos;Thor;Zeus;Artemis
¿Cuál es el nombre del mundo ficticio en el que se desarrolla la serie 'The Elder Scrolls'?;Fácil;Tamriel;Azeroth;Hyrule;Thedas
¿Cómo se llama el villano principal en la serie de videojuegos 'Sonic the Hedgehog'?;Fácil;Dr. Robotnik o Eggman;King K. Rool;Bowser;Ganon
¿Qué personaje controlan los jugadores en la serie de videojuegos 'Tomb Raider'?;Fácil;Lara Croft;Nathan Drake;Aloy;Bayonetta
¿En qué juego de peleas puedes jugar como Ryu, Ken o Chun-Li?;Fácil;Street Fighter;Mortal Kombat;Tekken;Dead or Alive
¿Cuál es el nombre de la compañía ficticia responsable de los experimentos en el juego 'Resident Evil'?;Fácil;Umbrella Corporation;Black Mesa;Aperture Science;Weyland-Yutani
¿Qué juego fue desarrollado por Mojang y más tarde adquirido por Microsoft?;Fácil;Minecraft;Roblox;Terraria;Factorio
¿Qué objeto utiliza el personaje Link para viajar en el tiempo en 'The Legend of Zelda: Ocarina of Time'?;Fácil;Ocarina;Espada Maestra;Reloj de sol;Linterna Mágica
¿Qué tipo de criatura es 'Spyro' en la serie de juegos del mismo nombre?;Fácil;Dragón;Gárgola;León;Caballo
¿Cuál es el nombre del dragón compañero de 'Spyro'?;Fácil;Sparx;Glumshanks;Cynder;Flame
¿Qué videojuego de disparos en primera persona es conocido por su modo zombi?;Fácil;Call of Duty;Halo;Battlefield;Counter-Strike
¿En qué popular serie de videojuegos de carreras puedes usar objetos como caparazones de tortuga y plátanos para obstaculizar a tus oponentes?;Fácil;Mario Kart;Gran Turismo;Forza Horizon;Need for Speed
¿Qué personaje de videojuegos es conocido por saltar en barriles para rescatar a la Princesa Peach de Donkey Kong?;Fácil;Mario;Sonic;Mega Man;Kirby
¿Cuál es el nombre del mundo abierto en el juego 'Grand Theft Auto V'?;Fácil;Los Santos;Liberty City;Vice City;San Fierro
¿En qué juego puedes usar construcciones como rampas y paredes para obtener ventaja táctica sobre tus oponentes?;Fácil;Fortnite;Minecraft;Terraria;Roblox
¿Qué dispositivo de juego de Nintendo se caracteriza por tener dos pantallas, una de las cuales es táctil?;Fácil;Nintendo DS;Nintendo Switch;PlayStation Portable;Game Boy Advance
