Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Quién escribió 'Cien años de soledad'?;Media;Gabriel García Márquez;Mario Vargas Llosa;Julio Cortázar;Isabel Allende
¿En qué novela aparecen los personajes Lennie Small y George Milton?;Media;De ratones y hombres;El gran Gatsby;Matar a un ruiseñor;Orgullo y prejuicio
¿Cuál es el nombre de la tierra de los elfos en 'El Señor de los Anillos'?;Media;Lothlórien;Narnia;Westeros;Hogwarts
¿Qué poeta escribió 'La Divina Comedia'?;Media;Dante Alighieri;William Shakespeare;Francesco Petrarca;Giovanni Boccaccio
¿Qué autor es conocido por su serie de detectives protagonizada por Hercule Poirot?;Media;Agatha Christie;Arthur Conan Doyle;Ian Fleming;Stephen King
¿Qué novela de Dostoyevski tiene a Rodion Raskólnikov como protagonista?;Media;Crimen y castigo;Los hermanos Karamazov;El idiota;Notas del subsuelo
¿Quién escribió la novela distópica 'Un mundo feliz'?;Media;Aldous Huxley;George Orwell;Ray Bradbury;Thomas More
¿Cuál es la obra maestra de James Joyce que se centra en un día en la vida de Leopold Bloom?;Media;Ulises;Dublineses;Retrato del artista adolescente;Finnegans Wake
¿Qué libro es conocido por la frase 'Lolita, luz de mi vida, fuego de mis entrañas'?;Media;Lolita;El amante de Lady Chatterley;El gran Gatsby;Anna Karenina
¿Cuál es el nombre del poema épico escrito por John Milton sobre la caída del hombre?;Media;El paraíso perdido;La Iliada;La Eneida;Los Lusiadas
¿Qué novela de Jane Austen centra su historia en Elizabeth Bennet y Fitzwilliam Darcy?;Media;Orgullo y prejuicio;Sentido y sensibilidad;Emma;Mansfield Park
¿Qué obra de teatro de Oscar Wilde relata la historia de Jack Worthing y su amigo Algernon Moncrieff?;Media;La importancia de llamarse Ernesto;Un marido ideal;Salomé;El abanico de Lady Windermere
¿En qué obra de Shakespeare se pronuncia el famoso soliloquio 'Ser o no ser'?;Media;Hamlet;Macbeth;Otelo;El rey Lear
¿Cuál es el pseudónimo bajo el cual escribió Mary Ann Evans?;Media;George Eliot;Charlotte Brontë;Jane Austen;Louisa May Alcott
¿Quién es el autor de la novela 'Las uvas de la ira', que retrata la difícil migración de una familia durante la Gran Depresión?;Media;John Steinbeck;Ernest Hemingway;F. Scott Fitzgerald;William Faulkner
¿Qué poeta inglés escribió 'Los cantos de Inocencia y de Experiencia mostrando los dos estados contrarios del alma humana'?;Media;William Blake;John Keats;Samuel Taylor Coleridge;Percy Bysshe Shelley
¿Cuál es el título de la seguna novela del escritor colombiano Gabriel García Márquez que gira en torno a la figura del dictador?;Media;El otoño del patriarca;El amor en los tiempos del cólera;El general en su laberinto;Crónica de una muerte anunciada
¿En qué libro de Mark Twain el joven protagonista viaja por el río Mississippi con un esclavo fugitivo llamado Jim?;Media;Las aventuras de Huckleberry Finn;Las aventuras de Tom Sawyer;Un yanqui en la corte del rey Arturo;El príncipe y el mendigo
¿Cuál es el nombre del famoso diario escrito por una joven durante la Segunda Guerra Mundial?;Media;El diario de Ana Frank;El diario de Helga;Suite francesa;Diario de la guerra
¿Qué escritor argentino es conocido por sus cuentos cortos como 'La casa de Asterión' y 'El Aleph'?;Media;Jorge Luis Borges;Julio Cortázar;Adolfo Bioy Casares;Manuel Puig
¿Qué poeta chileno ganó el Premio Nobel de Literatura en 1971?;Media;Pablo Neruda;Gabriela Mistral;Vicente Huidobro;Nicanor Parra
¿Qué autor ruso escribió la obra 'Anna Karenina'?;Media;León Tolstói;Fiódor Dostoyevski;Antón Chéjov;Iván Turguénev
¿En qué novela de Franz Kafka un hombre se despierta convertido en un insecto?;Media;La metamorfosis;El proceso;El castillo;América
¿Quién es el autor de 'Moby-Dick', la historia de la obsesiva búsqueda de una gran ballena blanca?;Media;Herman Melville;Nathaniel Hawthorne;Edgar Allan Poe;Walt Whitman
¿Qué autor creó el personaje de Sherlock Holmes?;Media;Arthur Conan Doyle;Agatha Christie;Raymond Chandler;Dashiell Hammett
¿Qué escritor es conocido por su poema 'La canción de mí mismo'?;Media;Walt Whitman;Robert Frost;T.S. Eliot;E.E. Cummings
¿Qué novela de Michael Ende narra la historia de un niño que lee un libro mágico titulado 'La historia interminable'?;Media;La historia interminable;Momo;El espejo en el espejo;Jim Botón y Lucas el maquinista
¿Quién escribió la novela gótica 'Drácula'?;Media;Bram Stoker;Mary Shelley;Robert Louis Stevenson;Anne Rice
¿Qué famoso poema narrativo de Samuel Taylor Coleridge cuenta la historia de un viejo marinero?;Media;La balada del viejo marinero;Kubla Khan;Cristabel;Frost at Midnight
¿Qué escritora británica es conocida por su novela 'La muerte llega a Pemberley', entre otros misterios?;Media;P.D. James;Ruth Rendell;Agatha Christie;Dorothy L. Sayers
¿Cuál es el título de la famosa novela de Victor Hugo sobre Jean Valjean?;Media;Los miserables;El jorobado de Notre Dame;Los trabajadores del mar;Noventa y tres
¿Quién escribió 'En busca del tiempo perdido', una de las novelas más destacadas del siglo XX?;Media;Marcel Proust;James Joyce;Virginia Woolf;F. Scott Fitzgerald
¿Qué autor estadounidense es conocido por la novela 'La llamada de la selva'?;Media;Jack London;Mark Twain;John Steinbeck;Ernest Hemingway
