Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿En qué año comenzó la Primera Guerra Mundial?;Fácil;1914;1939;1918;1945
¿Quién fue el primer presidente de los Estados Unidos?;Fácil;George Washington;Abraham Lincoln;Thomas Jefferson;Theodore Roosevelt
¿Qué país regaló la Estatua de la Libertad a los Estados Unidos?;Fácil;Francia;España;Reino Unido;Alemania
¿Qué civilización construyó las pirámides de Giza?;Fácil;Egipcia;Azteca;Romana;Inca
¿Cuál fue el último emperador romano de Occidente?;Fácil;Rómulo Augusto;Calígula;Nerón;Trajano
¿En qué año cayó el Muro de Berlín?;Fácil;1989;1979;1999;1969
¿Qué evento histórico se conoce como El Descubrimiento de América?;Fácil;Llegada de Colón a América;Fundación de la ONU;Caída del Imperio Romano;Guerra de Vietnam
¿Quién lideró la Revolución Rusa de 1917?;Fácil;Vladimir Lenin;Iósif Stalin;Nikita Jrushchov;Borís Yeltsin
¿De qué país se independizó India en 1947?;Fácil;Reino Unido;Portugal;Francia;España
¿Qué faraón egipcio es más conocido por su casi intacta tumba descubierta en 1922?;Fácil;Tutankamón;Ramsés II;Cleopatra;Akenatón
¿En qué año se firmó la Declaración de Independencia de los Estados Unidos?;Fácil;1776;1804;1492;1607
¿Quién fue conocido como el Padre del Renacimiento?;Fácil;Petrarca;Miguel Ángel;Galileo Galilei;Cicerón
¿En qué año finalizó la Segunda Guerra Mundial?;Fácil;1945;1918;1939;1955
¿Qué emperador romano promulgó el Edicto de Milán?;Fácil;Constantino el Grande;Julio César;Augusto;Nerón
¿Qué reina inglesa es conocida por su victoria contra la Armada Invencible?;Fácil;Isabel I;Victoria;Ana Bolena;María I
¿Quién pintó la famosa obra La última cena?;Fácil;Leonardo da Vinci;Pablo Picasso;Vincent van Gogh;Salvador Dalí
¿Dónde comenzó la Revolución Industrial?;Fácil;Reino Unido;Francia;China;Estados Unidos
¿Qué famoso documento legal inglés fue firmado en 1215?;Fácil;La Carta Magna;La Declaración de Derechos;El Código de Hammurabi;Las Leyes de las Doce Tablas
¿Quién descubrió la penicilina?;Fácil;Alexander Fleming;Louis Pasteur;Marie Curie;Isaac Newton
¿Cómo se llamaba la guerra entre Esparta y Atenas en la antigua Grecia?;Fácil;La Guerra del Peloponeso;Las Guerras Médicas;La Guerra de Troya;La Batalla de Maratón
¿Cuál es el nombre del famoso tratado que puso fin a la Primera Guerra Mundial?;Fácil;Tratado de Versalles;Tratado de Westfalia;Tratado de Utrecht;Pacto de Varsovia
¿Quién fue la primera mujer en gobernar el Imperio ruso, conocida por sus reformas y la expansión del territorio?;Fácil;Catalina la Grande;Isabel I de Rusia;María Teresa de Austria;Elena Glínskaya
¿Qué importante documento escribió Thomas Jefferson?;Fácil;Declaración de Independencia;Carta Magna;Constitución de los Estados Unidos;Declaración de los Derechos del Hombre y del Ciudadano
