Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Qué lenguaje de programación fue desarrollado por Guido van Rossum?;Media;Python;Java;Ruby;C++
¿Qué protocolo es utilizado para enviar correos electrónicos?;Media;SMTP;HTTP;FTP;TCP
¿Quién fue el cofundador de Microsoft junto con Bill Gates?;Media;Paul Allen;Steve Wozniak;Jeff Bezos;Larry Page
¿Qué significa la sigla 'CPU' en informática?;Media;Central Processing Unit;Central Programming Unit;Computer Processing Unit;Central Processor Unit
¿En qué año se lanzó el primer iPhone?;Media;2007;2005;2008;2006
¿Qué compañía desarrolló el sistema operativo Android?;Media;Google;Apple;Microsoft;Nokia
¿Qué elemento de una base de datos relacional representa una colección de datos organizados en columnas y filas?;Media;Tabla;Celda;Archivo;Directorio
¿Qué tecnología es crucial para la realización de videoconferencias?;Media;VoIP;FTP;NFC;SMTP
¿Cuál es el nombre de la capa de transporte segura que se utiliza en combinación con HTTP para proporcionar seguridad en las comunicaciones en la web?;Media;HTTPS;SHTTP;SSH;HTTPSecure
¿Qué estándar de comunicaciones inalámbricas es comúnmente utilizado para intercambiar datos entre dispositivos móviles a corta distancia?;Media;Bluetooth;Infrared;NFC;LiFi
¿Qué lenguaje de marcado es utilizado para estructurar y presentar contenidos en la World Wide Web?;Media;HTML;XML;JSON;SQL
¿Qué es un SSD en el contexto de almacenamiento de computadoras?;Media;Solid-State Drive;Secure Storage Device;Simple Storage Disk;Static State Disk
¿Cuál es la finalidad principal de un firewall en una red de computadoras?;Media;Seguridad;Mejora del rendimiento;Filtrado de spam;Balanceo de carga
¿Qué es la 'nube' en términos de computación y almacenamiento?;Media;Cloud Computing;Skynet;Space Storage;Aerial Server
¿Qué nombre recibe un entorno de ejecución para desarrollar y ejecutar aplicaciones de software que incluye un compilador y una biblioteca de software?;Media;Framework;Terminal;Protocol;Console
¿A qué se refiere la sigla 'GPU' en la informática?;Media;Graphics Processing Unit;General Processing Unit;Gaming Processor Unit;Global Processing Unit
¿Cuál es el propósito del código de estado HTTP 404?;Media;Not Found;Forbidden;Internal Server Error;Bad Request
¿El término 'pixel' es una abreviatura de qué dos palabras?;Media;Picture Element;Pixelated Image;Picture Line;Pixel Element
¿Qué compañía desarrolló el sistema de bases de datos conocido como MySQL?;Media;MySQL AB;Microsoft;IBM;Oracle Corporation
¿Qué algoritmo de cifrado es conocido por ser utilizado en redes Wi-Fi Protegidas (WPA2)?;Media;AES;RSA;Blowfish;DES
¿Cuál es el propósito principal de un Sistema de Gestión de Bases de Datos (SGBD)?;Media;Administrar bases de datos;Procesamiento de texto;Gestionar conexiones de red;Controlar dispositivos externos
¿Qué lenguaje de programación utiliza el framework Ruby on Rails?;Media;Ruby;Python;JavaScript;PHP
¿Cuál de estos es un sistema operativo de código abierto?;Media;Linux;Windows;macOS;iOS
¿Qué protocolo de Internet se utiliza principalmente para transferir archivos de un servidor a un cliente?;Media;FTP;SMTP;HTTP;IMAP
¿Qué significa RAID en el contexto de almacenamiento de datos?;Media;Redundant Array of Independent Disks;Random Access of Indexed Disks;Rapid Action of Integrated Disks;Random Allocation of Infinite Data
¿Cómo se llama la secuencia de comandos o instrucciones utilizadas para automatizar procesos en un sistema operativo?;Media;Script;Protocol;Algorithm;Application
¿Qué tecnología se utiliza para crear una versión simulada de un sistema operativo dentro de otro, permitiendo la ejecución simultánea de diferentes sistemas operativos?;Media;Virtualización;Emulación;Multiplexación;Simulación
¿Qué significa la 'P' en PHP?;Media;PHP: Hypertext Preprocessor;Personal Home Page;Programmable Hypertext Processor;Private Hosting Protocol
¿Cuál de estas opciones NO es un lenguaje de programación?;Media;Adobe Flash;Python;C#;Java
¿Qué es MongoDB?;Media;Base de datos NoSQL;Lenguaje de programación;Herramienta de virtualización;Sistema de archivos en red
¿Qué es un 'commit' en el contexto del control de versiones?;Media;Confirmación de cambios;Envío de un email;Compilación de código;Ejecución de pruebas
¿Qué tecnología usa 'tinta electrónica' para mostrar contenido en dispositivos móviles y lectores de libros electrónicos?;Media;E-Paper;LCD;OLED;Plasma
¿Qué significan las siglas 'IoT'?;Media;Internet of Things;Interface of Transfers;Integration of Technology;Intranet of Tools
¿Cuál es el nombre de un popular contenedor de virtualización en la nube?;Media;Docker;VirtualBox;Hyper-V;LXC
¿Cuál es el puerto estándar para la transferencia de hipertexto (HTTP)?;Media;80;21;23;443
¿Qué protocolo se utiliza para recibir mensajes de correo electrónico?;Media;IMAP;SMTP;SFTP;ICMP
¿Qué lenguaje de programación fue diseñado originalmente por Netscape y es ampliamente utilizado para mejorar la interactividad de las páginas web?;Media;JavaScript;Perl;Cobol;Swift
¿Qué herramienta de software se utiliza para rastrear los defectos o problemas en un producto de software?;Media;Bug Tracker;Task Manager;Performance Monitor;Error Logger
¿Qué es Git?;Media;Sistema de control de versiones;Lenguaje de programación;Base de datos NoSQL;Plataforma de alojamiento web
¿Cómo se llama el dispositivo que convierte señales digitales en sonidos audibles y viceversa durante una llamada telefónica?;Media;Módem;Router;Repetidor;Switch
¿Qué lenguaje de consulta se utiliza comúnmente para manejar bases de datos relacionales?;Media;SQL;Python;JavaScript;HTML
¿Qué protocolo de red se utiliza para asignar automáticamente una dirección IP a un dispositivo en una red?;Media;DHCP;TCP;UDP;ICMP
¿Qué significa 'CSS' en diseño web?;Media;Cascading Style Sheets;Computer Style Syntax;Creative Style System;Compact Sheet Styles
¿Qué es 'Raspberry Pi'?;Media;Computadora de placa única;Marca de tabletas;Sistema operativo;Protocolo de comunicación
¿Cuál es la diferencia entre memoria RAM y memoria ROM?;Media;RAM es volátil, ROM no lo es;RAM es para almacenamiento, ROM para procesamiento;ROM es más rápida que RAM;RAM es más grande que ROM
¿Qué es un framework JavaScript popular para el desarrollo de interfaces de usuario?;Media;React;Bootstrap;Laravel;JQuery
¿Qué significa la sigla 'API' en desarrollo de software?;Media;Application Programming Interface;Automated Program Interaction;Advanced Peripheral Interface;Array of Programming Instructions
¿Qué empresa es responsable de la creación del sistema operativo Windows?;Media;Microsoft;Apple;IBM;Google
¿Qué lenguaje de programación es especialmente conocido por su uso en el desarrollo de sistemas operativos y software de sistemas?;Media;C;Python;JavaScript;Ruby
¿En qué se diferencia el software de código abierto del software propietario?;Media;El código fuente está disponible públicamente;El código abierto es siempre gratuito;El software propietario no tiene licencia;El código abierto no puede ser modificado
¿Qué es una 'Pull Request' en plataformas de control de versiones como GitHub?;Media;Solicitud para integrar cambios;Petición para extraer datos;Requerimiento de cambio de versión;Solicitud de funcionalidades nuevas
¿Qué arquitectura de CPU es ampliamente utilizada en smartphones y tablets?;Media;ARM;x86;SPARC;PowerPC
¿Qué es un 'applet' en Java?;Media;Pequeña aplicación;Tipo de variable;Conjunto de APIs;Editor de código
¿Cuál es el principal lenguaje de scripting para desarrollo web en el lado del servidor?;Media;PHP;HTML;CSS;XML
¿Qué significa el error '500 Internal Server Error'?;Media;Problema del lado del servidor;Error de cliente;Conexión fallida;Solicitud incorrecta
¿Qué tecnología blockchain es conocida por su asociación con la criptomoneda Ether?;Media;Ethereum;Bitcoin;Litecoin;Ripple
¿Qué ofrece el servicio AWS de Amazon?;Media;Computación en la nube;Venta al por menor;Motor de búsqueda web;Red social
¿Cómo se denomina la práctica de dividir un trabajo en múltiples hilos de ejecución para mejorar el rendimiento?;Media;Multithreading;Multiplexing;Multiprocessing;Microtasking
¿Qué algoritmo de enrutamiento es conocido por su simplicidad y se utiliza en Internet para el intercambio de datos de enrutamiento?;Media;BGP;OSPF;RIP;EIGRP
¿Qué es Splunk en el ámbito de la tecnología de la información?;Media;Plataforma de análisis de datos;Lenguaje de programación;Tipo de base de datos;Antivirus
¿Cuál es el nombre del algoritmo de búsqueda utilizado para trazar una ruta eficientemente entre dos nodos en un mapa?;Media;A*;Dijkstra;Bubble Sort;Binary Search
¿Qué tipo de base de datos utiliza un esquema flexible, que puede almacenar datos no estructurados o semi-estructurados?;Media;NoSQL;SQL;NewSQL;XML Database
¿Cuál es el propósito de un 'sandbox' en desarrollo de software?;Media;Entorno de prueba aislado;Compilación de código;Revisión de sintaxis;Control de versiones
¿Qué significa 'REST' en el contexto de las API web?;Media;Representational State Transfer;Realtime Stream Transfer;Rapid Elastic Search Transformation;Relational SQL Transfer
¿Qué es el 'código máquina'?;Media;Instrucciones ejecutables directamente por la CPU;Alto nivel de lenguaje de programación;Sistema operativo;Firmware de dispositivo
¿Cómo se llama comúnmente al modelo de reparto de cargas de trabajo en múltiples computadoras para acelerar el procesamiento?;Media;Computación distribuida;Computación paralela;Autocomputación;Supercomputación
¿Qué protocolo utiliza la capa de Enlace de Datos en el modelo OSI para el control de acceso al medio en redes WiFi?;Media;CSMA/CA;CSMA/CD;ARP;RARP
¿Qué formato de archivo utiliza principalmente Markdown?;Media;.md;.mkd;.mdown;.markdown
¿Qué es una 'cadena de bloques' en el contexto de la tecnología blockchain?;Media;Registro público descentralizado;Estructura de datos lineal;Secuencia criptográfica;Base de datos distribuida
¿Qué es Selenium en el mundo del desarrollo de software?;Media;Herramienta de pruebas de software;Framework de desarrollo web;Sistema de gestión de bases de datos;Lenguaje de programación
¿Qué tecnología se utiliza para registrar múltiples dominios de Internet en una sola dirección IP?;Media;Virtual Hosting;Dynamic DNS;Reverse Proxy;IP Forwarding
¿Cuál es la principal diferencia entre XML y JSON?;Media;Formato de datos;Lenguaje de programación;Protocolo de comunicación;Codificación de caracteres
¿Qué tipo de ataque de seguridad implica la inundación de una red o servicio con tráfico no deseado para causar una denegación de servicio?;Media;DDoS;Phishing;Spoofing;SQL Injection
¿Cuál es la función del comando 'ping' en redes de computadoras?;Media;Verificar la conectividad de la red;Cambiar la configuración del enrutador;Descubrir dispositivos en la red;Monitorear el tráfico de la red
¿Qué tecnología utiliza 'ondas de radio' para transferir datos a corta distancia entre dispositivos?;Media;RFID;Li-Fi;MIMO;UWB
¿Qué característica única de la programación funcional se refiere a funciones que siempre producen el mismo resultado para las mismas entradas?;Media;Pureza;Objetividad;Recursividad;Concurrencia
¿Qué herramienta de desarrollo proporciona entornos virtuales consistentes para la programación en Python?;Media;virtualenv;npm;Docker;Gem
¿Cuál es el nombre del componente que, en bases de datos, garantiza que las transacciones se realicen de forma confiable y segura?;Media;ACID;BASE;CAP Theorem;NoSQL
¿Para qué se usa el comando 'tracert' o 'traceroute' en sistemas operativos?;Media;Rastrear la ruta de paquetes;Transferir archivos entre hosts;Listar el contenido del directorio;Mostrar la configuración de red actual
¿Qué es COBOL y para qué se utiliza principalmente?;Media;Lenguaje de programación para negocios;Protocolo de comunicación;Sistema de base de datos;Framework de desarrollo de aplicaciones
¿Qué es una VPN y para qué se usa comúnmente?;Media;Virtual Private Network;seguridad y privacidad en línea;Velocity Protocol Network;aceleración de conexión a internet;Visual Programming Node;programación visual;Virtual Path Network;gestión de rutas de red
¿Qué protocolo de red se utiliza para la asignación automática de direcciones IP a dispositivos en una red local?;Media;DHCP;HTTP;FTP;SMTP
¿Cuál es la función principal de un compilador en el desarrollo de software?;Media;Traducir código fuente a código máquina;Comprimir archivos;Encriptar datos;Gestionar bases de datos
¿Cuál es el término utilizado para describir un error en software o hardware que provoca una vulnerabilidad?;Media;Bug;Lag;Crash;Glitch
¿Qué herramienta de línea de comandos se utiliza para controlar las versiones de paquetes en Python?;Media;pip;apt;npm;gem
